state,district,year,jan-rf,jan-dep,feb-rf,feb-dep,mar-rf,mar-dep,apr-rf,apr-dep,may-rf,may-dep,jun-rf,jun-dep,jul-rf,jul-dep,aug-rf,aug-dep,sep-rf,sep-dep,oct-rf,oct-dep,nov-rf,dec-dep,dec-rf,dec-dep
West Bengal, Midnapore,2010,0.1,-99,9.0,-57,3.4,-89,0.0,-100,95.2,-12,180.1,-32,286.3,-13,372.0,5,282.7,-17,158.1,-10,6.9,-79,19.0,206
West Bengal, Murshidabad,2006,0.0,-100,0.0,-100,6.0,-69,45.0,-1,182.0,80,261.2,17,409.9,26,226.5,-14,440.2,93,46.5,-63,9.6,-38,0.0,-100
West Bengal, Murshidabad,2007,0.0,-100,61.0,430,23.0,20,0.0,-100,,,334.1,50,479.2,47,268.4,2,417.9,83,143.0,15,,,,
West Bengal, Murshidabad,2008,6.2,-60,2.1,-82,2.3,-88,7.8,-83,32.9,-67,248.2,11,378.5,16,210.1,-20,219.5,-4,66.2,-47,0.0,-100,0.0,-100
West Bengal, Murshidabad,2009,0.2,-99,0.0,-100,24.4,28,0.0,-100,176.6,75,73.8,-67,185.5,-43,358.5,37,381.6,67,150.7,21,0.0,-100,0.0,-100
West Bengal, Murshidabad,2010,0.2,-99,0.1,-99,0.0,-100,0.0,-100,88.0,-13,263.5,18,100.9,-69,171.3,-35,174.4,-24,89.9,-28,2.0,-87,50.4,1838
West Bengal, Nadia,2006,0.0,-100,0.0,-100,0.0,-100,6.0,-89,144.1,50,95.9,-57,353.4,45,218.6,-5,427.1,130,51.5,-54,0.5,-96,0.0,-100
West Bengal, Nadia,2007,0.0,-100,80.8,421,35.9,58,19.7,-65,71.8,-25,205.3,-8,471.4,93,208.7,-9,454.3,145,107.0,-4,38.0,173,0.0,-100
West Bengal, Nadia,2008,70.6,503,35.0,126,10.2,-55,92.0,65,96.4,0,259.8,16,301.2,23,219.5,-5,314.0,69,81.5,-27,0.0,-100,0.0,-100
West Bengal, Nadia,2009,0.0,-100,0.0,-100,33.3,47,0.4,-99,249.5,160,87.7,-61,234.2,-4,506.8,120,303.9,64,59.9,-46,20.6,48,0.2,-95
West Bengal, Nadia,2010,0.0,-100,14.5,-6,0.0,-100,29.4,-47,94.2,-2,173.4,-22,106.9,-56,87.9,-62,180.6,-3,110.1,-1,6.8,-51,42.4,934
West Bengal, North 24 Parganas,2006,0.0,-100,0.0,-100,13.1,-49,57.9,15,139.7,31,121.2,-58,427.0,31,308.9,-8,413.7,38,99.2,-30,3.9,-84,0.0,-100
West Bengal, North 24 Parganas,2007,1.1,-93,56.5,191,16.5,-36,63.6,26,101.4,-5,275.6,-5,427.9,31,227.5,-32,432.8,44,70.5,-50,75.6,211,,
West Bengal, North 24 Parganas,2008,59.7,285,39.4,103,29.0,12,50.0,-1,193.0,82,238.3,-18,305.7,-6,128.4,-62,314.2,5,127.0,-10,0.0,-100,0.0,-100
West Bengal, North 24 Parganas,2009,15.4,-1,5.6,-71,30.7,19,0.0,-100,214.3,102,113.0,-61,175.2,-46,301.2,-10,300.5,0,67.7,-52,23.0,-5,0.0,-100
West Bengal, North 24 Parganas,2010,15.4,-1,10.4,-46,5.3,-78,24.8,-57,151.8,35,220.1,-23,217.0,-36,213.7,-36,202.6,-28,167.9,34,4.9,-84,20.4,308
West Bengal, North Dinajpur,2006,,,,,,,,,,,116.7,-61,343.4,-9,233.5,-4,263.9,-2,54.3,-59,,,,
West Bengal, North Dinajpur,2007,,,,,,,,,,,439.0,47,474.1,25,413.6,70,220.8,-18,,,,,,
West Bengal, North Dinajpur,2008,,,,,,,,,,,293.9,-2,511.8,35,334.3,38,21.3,-92,,,,,,
West Bengal, North Dinajpur,2009,,,,,,,,,,,220.8,-26,320.1,-15,464.4,91,43.7,-84,261.9,98,,,,
West Bengal, North Dinajpur,2010,,,,,,,,,,,363.7,22,356.9,-6,343.2,41,369.6,37,69.5,-47,,,0.0,-100
West Bengal,Purulia,2006,,,,,,,,,,,270.9,24,412.2,40,325.9,5,270.5,6,12.6,-85,25.8,95,0.0,-100
West Bengal,Purulia,2007,0.0,-100,39.3,97,53.3,126,31.4,-9,78.4,43,126.6,-42,588.0,100,444.6,43,372.5,46,33.0,-61,16.7,27,0.0,-100
West Bengal,Purulia,2008,24.0,105,3.1,-84,3.9,-83,16.8,-51,63.0,15,403.3,85,384.8,31,202.8,-35,271.2,7,10.5,-88,0.0,-100,0.0,-100
West Bengal,Purulia,2009,8.9,-24,0.0,-100,11.1,-53,1.3,-96,113.2,107,55.4,-75,293.7,0,337.4,8,262.5,3,72.7,-14,9.6,-27,0.0,-100
West Bengal,Purulia,2010,8.9,-24,30.1,51,5.7,-72,12.0,-60,87.7,82,101.6,-47,139.7,-52,218.0,-25,175.2,-30,59.0,-29,10.5,-22,52.9,1330
West Bengal, South 24 Parganas,2006,0.0,-100,0.0,-100,12.5,-59,46.7,-10,113.2,9,147.7,-45,631.7,77,372.6,3,476.3,49,71.6,-60,6.5,-82,0.0,-100
